OTU	median_rank	median_feature_weight	model_input_day
Desulfovibrio (OTU 3465)	2.5	-0.3296925030340111	-1
Ruminococcaceae (OTU 467)	3.5	0.40744280193388066	-1
Lachnospiraceae (OTU 543)	4	-0.34008039005473545	-1
Erysipelotrichaceae (OTU 189)	7	0.3535074191234203	-1
Porphyromonadaceae (OTU 228)	10.5	0.31800137849021626	-1
Betaproteobacteria (OTU 58)	13	-0.18393602447931084	-1
Enterobacteriaceae (OTU 1)	14.5	-0.1838742192593545	-1
Enterococcus (OTU 23)	17	-0.16924718624077678	-1
Porphyromonadaceae (OTU 139)	19.5	0.2965338002606991	-1
Lachnospiraceae (OTU 397)	19.5	-0.2597015998577158	-1
Burkholderiales (OTU 34)	23	-0.1733591678659266	-1
Porphyromonadaceae (OTU 87)	23.5	0.2699772801286908	-1
Clostridium (OTU 154)	26	-0.15629344724214916	-1
Porphyromonadaceae (OTU 608)	26	0.27114126099007563	-1
Porphyromonadaceae (OTU 222)	30	0.253072086268029	-1
Ruminococcaceae (OTU 520)	30.5	-0.1553644695555795	-1
Bacillus (OTU 636)	31.5	-0.1553644695555795	-1
Dactylosporangium (OTU 3207)	32.5	-0.1553644695555795	-1
Coriobacteriaceae (OTU 293)	34.5	0.24921040739051964	-1
Clostridiales (OTU 356)	36.5	-0.24303921785172397	-1
Enterobacteriaceae (OTU 1)	1	0.4805050429743277	0
Bacteroides (OTU 2)	3	-0.452390011750085	0
Lactobacillus (OTU 18)	4	-0.4092711501860915	0
Escherichia/Shigella (OTU 610)	6.5	-0.3211501162625571	0
Lachnospiraceae (OTU 56)	13	0.28346765351325365	0
Ruminococcaceae (OTU 520)	13.5	-0.287966761885177	0
Porphyromonadaceae (OTU 54)	15	-0.20115922661329164	0
Porphyromonadaceae (OTU 22)	16	0.22379626906486155	0
Lachnospiraceae (OTU 38)	16	-0.08215621458561985	0
Lachnospiraceae (OTU 33)	17	-0.2524117226522107	0
Porphyromonadaceae (OTU 7)	20	0.13144496788119575	0
Ruminococcaceae (OTU 60)	24	-0.11394030817519127	0
Erysipelotrichaceae (OTU 234)	24.5	0.19681046577382816	0
Lachnospiraceae (OTU 9)	27	-0.21052103545453682	0
Proteus (OTU 16)	27	-0.19095439071203102	0
Alishewanella (OTU 776)	27	-0.11222606988121908	0
Eisenbergiella (OTU 164)	32.5	-0.0456374695110339	0
Clostridium (OTU 99)	33	0.18055557541024073	0
Clostridium (OTU 226)	33	0.04605844444543253	0
Lactobacillus (OTU 834)	33.5	-0.0456374695110339	0
Lactobacillus (OTU 18)	2	-1.209561846396649	1
Bacteroides (OTU 2)	4	-1.0447683127388354	1
Lachnospiraceae (OTU 35)	7	0.8395257141727522	1
Coriobacteriaceae (OTU 3419)	9	-0.42490082325726136	1
Coriobacteriaceae (OTU 379)	10.5	0.8030734725326898	1
Turicibacter (OTU 14)	11.5	0.6296225168141147	1
Bifidobacterium (OTU 46)	12	0.7453827213448163	1
Bacteroides (OTU 3)	12.5	0.6747382360394445	1
Enterococcus (OTU 23)	13.5	-0.6034903369986337	1
Porphyromonadaceae (OTU 7)	17.5	0.6152684912951247	1
Erysipelotrichaceae (OTU 234)	17.5	0.6021268407672054	1
Bacteria (OTU 509)	18	0.6066825319705877	1
Lachnospiraceae (OTU 44)	20	0.5807993220192496	1
Lactobacillus (OTU 31)	21	0.5531318973366881	1
Lactobacillales (OTU 603)	21	0.5721851142342991	1
Bacteroides (OTU 32)	23	0.11623828374270734	1
Alistipes (OTU 161)	26	0.09003603176770333	1
Anaerofustis (OTU 475)	26	-0.4718461291268826	1
Lachnospiraceae (OTU 109)	28.5	0.009322759602494523	1
Streptococcus (OTU 512)	28.5	0.530449090825015	1
